round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,94460,4.430779933929443,4.5718670845031735,0,
2,7,1,6,0,0,6,113577,4.37998104095459,4.675352334976196,0,
3,7,0,7,0,0,7,133784,3.986381769180298,4.217218589782715,0,
4,7,2,5,0,0,5,96065,3.4160544872283936,3.5528979301452637,0,
5,7,1,6,0,0,6,115372,2.634788393974304,2.7184107303619385,0,
6,7,0,7,0,0,7,134644,1.4359084367752075,1.6622804164886475,0,
7,7,1,6,3,0,3,57736,1.123067021369934,1.186052143573761,0,
8,7,0,7,0,0,7,134684,1.2450580596923828,1.6220155715942384,0,
9,7,2,5,0,0,5,96195,1.2919567823410034,1.39713876247406,0,
10,7,0,7,0,0,7,134664,1.5132055282592773,1.8830746650695802,0,
11,7,1,6,0,0,6,115432,1.1120086908340454,1.4726743698120117,0,
12,7,1,6,1,0,5,96195,1.1643513441085815,1.3397780656814575,0,
13,7,0,7,0,0,7,134639,1.3360097408294678,1.5283758878707887,0,
14,7,0,7,0,0,7,134629,1.3389732837677002,1.4488832712173463,0,
15,7,1,6,0,0,6,115377,1.1616843938827515,1.3340696692466736,0,
16,7,2,5,0,0,5,96200,1.1149734258651733,1.3442885875701904,0,
17,7,1,6,0,0,6,115357,1.211961567401886,1.2742027640342712,0,
18,7,0,7,0,0,7,134594,1.2162806987762451,1.3218251943588257,0,
19,7,0,7,0,0,7,134669,1.1103742122650146,1.1595829248428344,0,
20,7,1,6,0,0,6,115407,1.0581586360931396,1.194924533367157,0,
21,7,0,7,0,0,7,134594,1.1829373836517334,1.2884239912033082,0,
22,7,1,6,0,0,6,115402,1.0694782733917236,1.170979619026184,0,
23,7,0,7,0,0,7,134614,1.2273143529891968,1.3762890100479126,0,
24,7,1,6,0,0,6,115392,1.2662981152534485,1.3746597170829773,0,
25,7,1,6,0,0,6,115387,1.1891217827796936,1.2507553696632385,0,
26,7,1,6,0,0,6,115462,0.9726552963256836,1.1052332520484924,0,
27,7,1,6,0,0,6,115417,1.0663409233093262,1.2203344106674194,0,
28,7,1,6,0,0,6,115447,1.028672218322754,1.2578344941139221,0,
29,7,0,7,0,0,7,134689,0.9495360851287842,1.1348130702972412,0,
30,7,2,5,0,0,5,96190,0.9497629404067993,1.001833701133728,0,
31,7,0,7,0,0,7,134669,1.0483851432800293,1.360313630104065,0,
32,7,0,7,0,0,7,134564,1.1108567714691162,1.3307905912399294,0,
33,7,0,7,0,0,7,134689,0.9697650671005249,1.589637875556946,0,
34,7,0,7,0,0,7,134599,0.8502365946769714,1.4923302650451662,0,
35,7,1,6,0,0,6,115422,1.0992321372032166,1.3967413902282715,0,
36,7,0,7,0,0,7,134569,1.134668231010437,1.6639268636703493,0,
